,brand,store,gu,dong,address_1,address_2,lat,lng
315,CU,논현평화점,강남구,논현동,서울특별시 강남구 강남대로122길 56,서울특별시 강남구 강남대로122길 56,37.5091374,127.0273342
316,CU,논현학동점,강남구,논현동,서울특별시 강남구 학동로25길 11,서울특별시 강남구 학동로25길 11,37.5143573,127.0288501
317,CU,논현학사점,강남구,논현동,서울특별시 강남구 논현로149길 27,서울특별시 강남구 논현로149길 27,37.5179192,127.0264054
318,CU,논현한미점,강남구,논현동,서울특별시 강남구 봉은사로 179,서울특별시 강남구 봉은사로 179,37.5074822,127.0334248
319,CU,논현한진점,강남구,논현동,서울특별시 강남구 도산대로46길 21,서울특별시 강남구 도산대로46길 21,37.520717,127.0371476
320,CU,논현행복점,강남구,논현동,서울특별시 강남구 학동로24길 11,서울특별시 강남구 학동로24길 11,37.5125272,127.0290357
321,CU,논현혜성점,강남구,논현동,서울특별시 강남구 강남대로118길 8,서울특별시 강남구 강남대로118길 8,37.5061632,127.0244642
322,CU,논현힐탑점,강남구,논현동,서울특별시 강남구 학동로30길 39,서울특별시 강남구 학동로30길 39,37.5115907,127.0329942
323,CU,신사렉스점,강남구,논현동,서울특별시 강남구 강남대로 588,서울특별시 강남구 강남대로 588,37.51437080000001,127.0205398
324,CU,학동역점,강남구,논현동,서울특별시 강남구 학동로 224,서울특별시 강남구 학동로 224,37.5144524,127.0333326
325,CU,강남해성점,강남구,대치동,서울특별시 강남구 테헤란로 504,서울특별시 강남구 테헤란로 504,37.50655,127.0573817
326,CU,뉴대치플러스점,강남구,대치동,서울특별시 강남구 테헤란로84길 13 금원빌딩 (대치동) 금원빌딩,서울특별시 강남구 테헤란로84길 13 금원빌딩 (대치동) 금원빌딩,37.5063516,127.0588374
327,CU,대치금강점,강남구,대치동,서울특별시 강남구 테헤란로 410,서울특별시 강남구 테헤란로 410,37.5045497,127.0507308
328,CU,대치기량점,강남구,대치동,서울특별시 강남구 선릉로 406,서울특별시 강남구 선릉로 406,37.5011727,127.0508237
329,CU,대치동부점,강남구,대치동,서울특별시 강남구 테헤란로78길 8,서울특별시 강남구 테헤란로78길 8,37.5056259,127.0552143
330,CU,대치롯데점,강남구,대치동,서울특별시 강남구 선릉로64길 8,서울특별시 강남구 선릉로64길 8,37.4977228,127.0531038
331,CU,대치메가점,강남구,대치동,서울특별시 강남구 역삼로73길 13,서울특별시 강남구 역삼로73길 13,37.5028395,127.0550727
332,CU,대치메트로칸점,강남구,대치동,서울특별시 강남구 테헤란로88길 10,서울특별시 강남구 테헤란로88길 10,37.5068833,127.059437
333,CU,대치본점,강남구,대치동,서울특별시 강남구 도곡로 443,서울특별시 강남구 도곡로 443,37.4985911,127.0588285
334,CU,대치삼성점,강남구,대치동,서울특별시 강남구 도곡로 516,서울특별시 강남구 도곡로 516,37.4992034,127.0630995
335,CU,대치샤인점,강남구,대치동,서울특별시 강남구 도곡로63길 12,서울특별시 강남구 도곡로63길 12,37.4978196,127.0546022
336,CU,대치선경점,강남구,대치동,서울특별시 강남구 남부순환로 2936 (대치동,서울특별시 강남구 남부순환로 2936 (대치동,37.4933573,127.0619092
337,CU,대치세정점,강남구,대치동,서울특별시 강남구 삼성로 348,서울특별시 강남구 삼성로 348,37.5026803,127.0591664
338,CU,대치쌍용점,강남구,대치동,서울특별시 강남구 영동대로50길 10,서울특별시 강남구 영동대로50길 10,37.4985403,127.0699374
